player,team,position,default_xmins
Marcus Pedersen,Norway,DEF,9.82
Leo Østigård,Norway,DEF,16.3
David Møller Wolfe,Norway,DEF,82.13
Fredrik Bjørkan,Norway,DEF,0.9
Torbjørn Heggem,Norway,DEF,74.65
Henrik Falchener,Norway,DEF,0.0
Erling Haaland,Norway,FWD,84.34
Alexander Sørloth,Norway,FWD,74.74
Andreas Schjelderup,Norway,FWD,7.53
Jørgen Strand Larsen,Norway,FWD,3.9
Ørjan Nyland,Norway,GK,85.25
Egil Selvik,Norway,GK,4.75
Jens Petter Hauge,Norway,MID,2.7
Antonio Nusa,Norway,MID,75.34
Kristian Thorstvedt,Norway,MID,7.79
Carlos Harvey,Panama,MID,72.01
Cristian Martínez,Panama,MID,66.02
Yoel Bárcenas,Panama,MID,20.87
José Luis Rodríguez,Panama,MID,65.72
Aníbal Godoy,Panama,MID,71.96
Amir Murillo,Panama,DEF,81.67
José Córdoba,Panama,DEF,19.45
Éric Davis,Panama,DEF,68.42
César Blackman,Panama,DEF,15.92
Andrés Andrade,Panama,DEF,84.63
Roderick Miller,Panama,DEF,5.66
Jiovany Ramos,Panama,DEF,5.39
Jorge Gutiérrez,Panama,DEF,16.37
Ismael Díaz,Panama,FWD,71.27
José Fajardo,Panama,FWD,19.71
Cecilio Waterman,Panama,FWD,11.64
César Yanis,Panama,FWD,9.38
Luis Mejía,Panama,GK,4.75
Orlando Mosquera,Panama,GK,85.25
César Samudio,Panama,GK,0.0
Adalberto Carrasquilla,Panama,MID,79.39
Maurício Magalhães Prado,Paraguay,MID,3.46
Alejandro Romero,Paraguay,MID,3.46
Matías Galarza,Paraguay,MID,17.78
Braian Ojeda,Paraguay,MID,4.95
Gustavo Gómez,Paraguay,DEF,89.71
Júnior Alonso,Paraguay,DEF,87.87
Omar Alderete,Paraguay,DEF,87.27
Fabián Balbuena,Paraguay,DEF,83.53
Gustavo Velázquez,Paraguay,DEF,22.33
Juan José Cáceres,Paraguay,DEF,79.87
José Canale,Paraguay,DEF,3.46
Miguel Almirón,Paraguay,MID,84.62
Antonio Sanabria,Paraguay,FWD,30.33
Ramón Sosa,Paraguay,FWD,58.55
Álex Arce,Paraguay,FWD,14.09
Gabriel Ávalos,Paraguay,FWD,19.95
Gustavo Caballero,Paraguay,FWD,3.46
Alexandro Maidana,Paraguay,FWD,3.46
Roberto Fernández,Paraguay,GK,3.46
Gastón Olveira,Paraguay,GK,3.46
Orlando Gill,Paraguay,GK,3.46
Damián Bobadilla,Paraguay,MID,27.83
Julio Enciso,Paraguay,MID,81.79
Diego Gómez,Paraguay,MID,73.02
Samú Costa,Portugal,MID,0.3
Nuno Mendes,Portugal,DEF,87.19
João Cancelo,Portugal,DEF,77.13
Diogo Dalot,Portugal,DEF,15.28
Gonçalo Inácio,Portugal,DEF,70.06
Renato Veiga,Portugal,DEF,15.55
Tomás Araújo,Portugal,DEF,1.24
Gonçalo Ramos,Portugal,FWD,6.18
João Félix,Portugal,FWD,9.44
Pedro Neto,Portugal,MID,68.18
Trincão,Portugal,FWD,6.25
Gonçalo Guedes,Portugal,FWD,0.0
Francisco Conceição,Portugal,MID,9.18
Rui Silva,Portugal,GK,0.0
José Sá,Portugal,GK,0.15
Rúben Neves,Portugal,MID,18.43
Matheus Nunes,Portugal,MID,0.77
Vitinha,Portugal,MID,80.24
João Neves,Portugal,MID,68.56
Bruno Fernandes,Portugal,MID,85.32
Mohammad Al Mannai,Qatar,MID,18.38
Ayoub Al Oui,Qatar,MID,7.13
Ahmed Fathy,Qatar,MID,80.47
Karim Boudiaf,Qatar,MID,23.07
Assim Madibo,Qatar,MID,28.51
Pedro Miguel,Qatar,DEF,7.13
Lucas Mendes,Qatar,DEF,82.47
Boualem Khoukhi,Qatar,DEF,84.56
Hashmi Al Hussain,Qatar,DEF,12.76
Issa Laye,Qatar,DEF,7.13
Akram Afif,Qatar,FWD,90.0
Almoez Ali,Qatar,FWD,84.29
Edmílson Junior,Qatar,FWD,70.06
Hassan Al Haydos,Qatar,FWD,7.13
Yusuf Abdurisag,Qatar,FWD,19.26
Ahmed Al Ganehi,Qatar,FWD,62.07
Meshaal Barsham,Qatar,GK,90.0
Salah Zakaria,Qatar,GK,9.17
Mahmud Abunada,Qatar,GK,10.43
Musab Al Juwayr,Saudi Arabia,MID,64.58
Ziyad Al Johani,Saudi Arabia,MID,22.6
Mohamed Kanno,Saudi Arabia,MID,66.47
Abdullah Al Khaibari,Saudi Arabia,MID,17.53
Aiman Yahya,Saudi Arabia,MID,26.31
Saud Abdulhamid,Saudi Arabia,DEF,73.58
Abdulelah Al Amri,Saudi Arabia,DEF,15.9
Hassan Kadish,Saudi Arabia,DEF,70.46
Ali Majrashi,Saudi Arabia,DEF,18.0
Nawaf Bu Washl,Saudi Arabia,DEF,74.53
Ali Lajami,Saudi Arabia,DEF,79.8
Feras Al Brikan,Saudi Arabia,FWD,74.39
Abdullah Al Hamddan,Saudi Arabia,FWD,10.47
Khalid Al Ghannam,Saudi Arabia,FWD,0.0
Saleh Al Shehri,Saudi Arabia,FWD,25.1
Sultan Mandash,Saudi Arabia,FWD,0.0
Nawaf Al Aqidi,Saudi Arabia,GK,84.57
Ahmed Al Kassar,Saudi Arabia,GK,2.09
Mohammed Al Owais,Saudi Arabia,GK,3.34
John McGinn,Scotland,MID,80.73
Ryan Christie,Scotland,MID,31.24
Kenny McLean,Scotland,MID,25.35
Andy Robertson,Scotland,DEF,85.39
Kieran Tierney,Scotland,DEF,5.42
Nathan Patterson,Scotland,DEF,0.0
Jack Hendry,Scotland,DEF,76.87
John Souttar,Scotland,DEF,29.99
Scott McKenna,Scotland,DEF,24.31
Anthony Ralston,Scotland,DEF,29.28
Dominic Hyam,Scotland,DEF,0.0
Grant Hanley,Scotland,DEF,80.14
Ché Adams,Scotland,FWD,71.06
George Hirst,Scotland,FWD,0.52
Lyndon Dykes,Scotland,FWD,18.73
Findlay Curtis,Scotland,FWD,0.0
Liam Kelly,Scotland,GK,0.0
Angus Gunn,Scotland,GK,83.7
Scott McTominay,Scotland,MID,84.82
Lewis Ferguson,Scotland,MID,82.5
Idrissa Gueye,Senegal,MID,3.24
Pape Matar Sarr,Senegal,MID,27.18
Pathé Ciss,Senegal,MID,8.44
Pape Gueye,Senegal,MID,76.96
Mamadou Sarr,Senegal,DEF,8.07
Moussa Niakhaté,Senegal,DEF,88.24
El Hadji Malick Diouf,Senegal,DEF,85.17
Ismail Jakobs,Senegal,DEF,15.23
Kalidou Koulibaly,Senegal,DEF,85.86
Abdoulaye Seck,Senegal,DEF,18.82
Antoine Mendy,Senegal,DEF,9.33
Nicolas Jackson,Senegal,FWD,67.08
Iliman Ndiaye,Senegal,FWD,77.98
Ismaïla Sarr,Senegal,FWD,27.17
Assane Diao,Senegal,FWD,6.71
Cherif Ndiaye,Senegal,FWD,7.63
Bamba Dieng,Senegal,FWD,3.24
Ibrahim Mbaye,Senegal,FWD,7.36
Édouard Mendy,Senegal,GK,90.0
Yehvann Diouf,Senegal,GK,3.24
Mory Diaw,Senegal,GK,6.1
Krépin Diatta,Senegal,MID,87.26
Lamine Camara,Senegal,MID,24.14
Habib Diarra,Senegal,MID,66.9
Jayden Adams,South Africa,MID,9.75
Teboho Mokoena,South Africa,MID,87.25
Themba Zwane,South Africa,MID,29.28
Thalente Mbatha,South Africa,MID,63.13
Tshepang Moremi,South Africa,MID,14.43
Yaya Sithole,South Africa,MID,77.48
Aubrey Modiba,South Africa,DEF,83.78
Thabang Matuludi,South Africa,DEF,2.25
Khuliso Mudau,South Africa,DEF,87.51
Nkosinathi Sibisi,South Africa,DEF,80.23
Mbekezeli Mbokazi,South Africa,DEF,85.21
Khulumani Ndamane,South Africa,DEF,12.25
Ime Okon,South Africa,DEF,2.25
Samukele Kabini,South Africa,DEF,12.67
Lyle Foster,South Africa,FWD,78.8
Relebohile Mofokeng,South Africa,FWD,19.85
Oswin Appollis,South Africa,FWD,70.18
Evidence Makgopa,South Africa,FWD,16.74
Thapelo Maseko,South Africa,FWD,2.25
Ronwen Williams,South Africa,GK,88.04
Ricardo Goss,South Africa,GK,2.25
Yéremy Pino,Spain,MID,9.51
Álex Baena,Spain,MID,14.08
Martín Zubimendi,Spain,MID,38.09
Pedro Porro,Spain,DEF,27.79
Aymeric Laporte,Spain,DEF,84.31
Alejandro Grimaldo,Spain,DEF,14.06
Marc Cucurella,Spain,DEF,86.93
Pau Cubarsí,Spain,DEF,70.93
Lamine Yamal,Spain,MID,77.83
Ferran Torres,Spain,FWD,57.92
Mikel Oyarzabal,Spain,FWD,64.94
Borja Iglesias,Spain,FWD,3.54
Víctor Muñoz,Spain,FWD,0.0
David Raya,Spain,GK,1.07
Unai Simón,Spain,GK,88.93
Joan García,Spain,GK,0.0
Marcos Llorente,Spain,DEF,65.75
Rodri,Spain,MID,67.53
Dani Olmo,Spain,MID,19.8
Pedri,Spain,MID,60.27
Besfort Zeneli,Sweden,MID,8.3
Elliot Stroud,Sweden,MID,0.0
Taha Ali,Sweden,MID,0.0
Eric Smith,Sweden,MID,0.0
Lucas Bergvall,Sweden,MID,11.9
Yasin Ayari,Sweden,MID,74.15
Jesper Karlström,Sweden,MID,72.68
Mattias Svanberg,Sweden,MID,10.2
Daniel Svensson,Sweden,DEF,31.33
Gabriel Gudmundsson,Sweden,DEF,77.13
Carl Starfelt,Sweden,DEF,21.09
Victor Lindelöf,Sweden,DEF,73.63
Gustaf Lagerbielke,Sweden,DEF,75.64
Viktor Gyökeres,Sweden,FWD,84.42
Anthony Elanga,Sweden,FWD,26.85
Benjamin Nygren,Sweden,FWD,69.1
Gustaf Nilsson,Sweden,FWD,0.5
Kristoffer Nordfeldt,Sweden,GK,79.29
Johan Manzambi,Switzerland,MID,10.34
Granit Xhaka,Switzerland,MID,84.16
Michel Aebischer,Switzerland,MID,71.55
Remo Freuler,Switzerland,MID,84.98
Ardon Jashari,Switzerland,MID,0.01
Fabian Rieder,Switzerland,MID,33.95
Manuel Akanji,Switzerland,DEF,86.33
Ricardo Rodríguez,Switzerland,DEF,77.93
Nico Elvedi,Switzerland,DEF,82.2
Silvan Widmer,Switzerland,DEF,36.36
Miro Muheim,Switzerland,DEF,8.45
Eray Cömert,Switzerland,DEF,6.79
Aurèle Amenda,Switzerland,DEF,3.4
Luca Jaquez,Switzerland,DEF,0.92
Breel Embolo,Switzerland,FWD,75.41
Noah Okafor,Switzerland,FWD,3.13
Dan Ndoye,Switzerland,FWD,82.39
Gregor Kobel,Switzerland,GK,84.84
Yvon Mvogo,Switzerland,GK,4.97
Marvin Keller,Switzerland,GK,0.01
Djibril Sow,Switzerland,MID,10.87
Denis Zakaria,Switzerland,MID,53.54
Rubén Vargas,Switzerland,MID,70.76
Ellyes Skhiri,Tunisia,MID,86.19
Rani Khedira,Tunisia,MID,3.36
Hadj Mahmoud,Tunisia,MID,10.83
Mortadha Ben Ouanes,Tunisia,MID,20.31
Anis Ben Slimane,Tunisia,MID,13.75
Moutaz Neffati,Tunisia,DEF,4.14
Ali Abdi,Tunisia,DEF,89.82
Omar Rekik,Tunisia,DEF,3.36
Adem Arous,Tunisia,DEF,3.36
Mohamed Amine Ben Hmida,Tunisia,DEF,3.36
Raed Chikhaoui,Tunisia,DEF,3.36
Ismaël Gharbi,Tunisia,FWD,60.88
Elias Saad,Tunisia,FWD,63.0
Firas Chaouat,Tunisia,FWD,17.98
Sebastian Tounekti,Tunisia,FWD,12.36
Hazem Mastouri,Tunisia,FWD,72.56
Rayan Elloumi,Tunisia,FWD,3.36
Khalil Ayari,Tunisia,FWD,3.36
Abdelmouhib Chamakh,Tunisia,GK,3.36
Aymen Dahmen,Tunisia,GK,89.45
Sabri Ben Hessen,Tunisia,GK,3.36
Ismail Yüksek,Türkiye,MID,71.99
Salih Özcan,Türkiye,MID,8.73
Irfan Can Kahveci,Türkiye,MID,9.45
Orkun Kökçü,Türkiye,MID,33.13
Kaan Ayhan,Türkiye,DEF,13.51
Zeki Çelik,Türkiye,DEF,63.48
Ferdi Kadioglu,Türkiye,DEF,69.3
Samet Akaydin,Türkiye,DEF,17.67
Mert Müldür,Türkiye,DEF,33.09
Ozan Kabak,Türkiye,DEF,3.72
Eren Elmali,Türkiye,DEF,16.6
Abdülkerim Bardakci,Türkiye,DEF,85.71
Merih Demiral,Türkiye,DEF,77.21
Kenan Yildiz,Türkiye,MID,74.07
Kerem Aktürkoglu,Türkiye,FWD,69.51
Baris Alper Yilmaz,Türkiye,FWD,61.95
Oguz Aydin,Türkiye,FWD,10.75
Yunus Akgün,Türkiye,FWD,15.45
Deniz Gül,Türkiye,FWD,3.15
Ugurcan Çakir,Türkiye,GK,84.4
Altay Bayindir,Türkiye,GK,1.33
Mert Günok,Türkiye,GK,4.26
Arda Güler,Türkiye,MID,79.13
Hakan Çalhanoglu,Türkiye,MID,75.22
Juan Manuel Sanabria,Uruguay,MID,72.34
Emiliano Martínez,Uruguay,MID,2.78
Facundo Pellistri,Uruguay,MID,37.83
Maxi Araújo,Uruguay,MID,76.87
Manuel Ugarte,Uruguay,MID,78.6
Nicolás de la Cruz,Uruguay,MID,20.24
Ronald Araujo,Uruguay,DEF,23.12
José María Giménez,Uruguay,DEF,24.96
Matías Viña,Uruguay,DEF,16.03
Mathías Olivera,Uruguay,DEF,74.21
Guillermo Varela,Uruguay,DEF,64.0
Sebastián Cáceres,Uruguay,DEF,72.82
Santiago Bueno,Uruguay,DEF,8.58
Darwin Núñez,Uruguay,FWD,75.24
Federico Viñas,Uruguay,FWD,46.6
Brian Rodríguez,Uruguay,FWD,12.12
Rodrigo Aguirre,Uruguay,FWD,11.72
Agustín Canobbio,Uruguay,FWD,2.08
Sergio Rochet,Uruguay,GK,3.72
Fernando Muslera,Uruguay,GK,85.4
Santiago Mele,Uruguay,GK,0.88
Giorgian de Arrascaeta,Uruguay,MID,14.82
Federico Valverde,Uruguay,MID,83.72
Cristian Roldan,USA,MID,0.0
Sebastian Berhalter,USA,MID,34.74
Brenden Aaronson,USA,MID,11.01
Malik Tillman,USA,MID,77.73
Weston McKennie,USA,MID,77.46
Giovanni Reyna,USA,MID,11.03
Antonee Robinson,USA,DEF,78.46
Chris Richards,USA,DEF,82.73
Joe Scally,USA,DEF,14.23
Tim Ream,USA,DEF,82.66
Mark McKenzie,USA,DEF,1.31
Auston Trusty,USA,DEF,0.0
Alexander Freeman,USA,DEF,81.62
Timothy Weah,USA,MID,5.62
Ricardo Pepi,USA,FWD,5.24
Folarin Balogun,USA,FWD,71.15
Max Arfsten,USA,FWD,33.35
Matt Turner,USA,GK,8.15
Matt Freese,USA,GK,81.85
Chris Brady,USA,GK,0.0
Christian Pulisic,USA,MID,78.46
Abdulla Abdullaev,Uzbekistan,MID,18.04
Sherzod Esanov,Uzbekistan,MID,0.97
Akmal Mozgovoy,Uzbekistan,MID,12.72
Otabek Shukurov,Uzbekistan,MID,81.5
Dostonbek Khamdamov,Uzbekistan,MID,0.97
Aziz G'aniev,Uzbekistan,MID,1.04
Odiljon Hamrobekov,Uzbekistan,MID,86.5
Oston Urunov,Uzbekistan,MID,34.66
Jamshid Iskanderov,Uzbekistan,MID,5.97
Jaloliddin Masharipov,Uzbekistan,MID,79.66
Abbosbek Fayzullaev,Uzbekistan,MID,64.69
Abdukodir Khusanov,Uzbekistan,DEF,79.81
Rustam Ashurmatov,Uzbekistan,DEF,77.85
Sherzod Nasrullaev,Uzbekistan,DEF,76.04
Farrukh Sayfiev,Uzbekistan,DEF,71.29
Khojiakbar Alijonov,Uzbekistan,DEF,76.38
Umar Eshmurodov,Uzbekistan,DEF,43.22
Avazbek O'lmasaliev,Uzbekistan,DEF,0.97
Bekhruz Karimov,Uzbekistan,DEF,0.97
Jakhongir Urozov,Uzbekistan,DEF,0.97
Eldor Shomurodov,Uzbekistan,FWD,79.42
Igor Sergeev,Uzbekistan,FWD,3.79
Azizbek Amanov,Uzbekistan,FWD,3.22
Abduvokhid Ne'matov,Uzbekistan,GK,0.97
Utkir Yusupov,Uzbekistan,GK,87.4
Botirali Ergashev,Uzbekistan,GK,0.97
Lisandro Martínez,Argentina,DEF,11.41
Facundo Medina,Argentina,DEF,3.06
Gonzalo Montiel,Argentina,DEF,11.6
Giovani Lo Celso,Argentina,MID,9.51
Lautaro Martínez,Argentina,FWD,24.7
Dennis Hadzikadunic,Bosnia and Herzegovina,DEF,3.28
Ermin Mahmic,Bosnia and Herzegovina,MID,0.0
Weverton,Brazil,GK,2.01
Alex Sandro,Brazil,DEF,10.16
Bruno Guimarães,Brazil,MID,79.26
Raphinha,Brazil,MID,79.79
Neymar,Brazil,MID,17.66
Yerry Mina,Colombia,DEF,15.78
Willer Ditta,Colombia,DEF,3.12
Juan Portilla,Colombia,MID,6.24
Cucho Hernández,Colombia,FWD,2.46
Jindrich Stanek,Czechia,GK,2.25
David Zima,Czechia,DEF,6.07
Alexandr Sojka,Czechia,MID,72.34
David Doudera,Czechia,MID,5.44
Hugo Sochurek,Czechia,MID,0.0
Jan Kuchta,Czechia,FWD,2.14
Adam Hlozek,Czechia,FWD,6.09
Robin Risser,France,GK,0.07
William Saliba,France,DEF,87.62
Jules Koundé,France,DEF,82.68
Bradley Barcola,France,MID,14.71
Jean-Philippe Mateta,France,FWD,4.78
Augustine Boakye,Ghana,MID,4.24
Ko Itakura,Japan,DEF,61.72
Takehiro Tomiyasu,Japan,DEF,11.43
Yuto Nagatomo,Japan,DEF,0.0
Takefusa Kubo,Japan,MID,64.25
Mateo Chávez,Mexico,DEF,9.95
César Huerta,Mexico,MID,7.51
Edson Álvarez,Mexico,MID,79.42
Gilberto Mora,Mexico,MID,12.9
Luis Chávez,Mexico,MID,16.91
Luis Romo,Mexico,MID,9.83
Santiago Giménez,Mexico,FWD,18.81
Michael Boxall,New Zealand,DEF,80.62
Liberato Cacace,New Zealand,DEF,71.9
Nando Pijnaker,New Zealand,DEF,26.85
Tommy Smith,New Zealand,DEF,0.0
Matthew Garbett,New Zealand,FWD,73.0
Chris Wood,New Zealand,FWD,70.1
Sarpreet Singh,New Zealand,MID,67.44
Homam El Amin,Qatar,DEF,7.13
Sultan Al Brake,Qatar,DEF,18.07
Abdulaziz Hatem,Qatar,MID,66.85
Jassem Gaber,Qatar,MID,70.6
Ahmed Alaa,Qatar,FWD,7.13
Mohammed Muntari,Qatar,FWD,16.38
Tahsin Jamshid,Qatar,FWD,7.13
Viktor Johansson,Sweden,GK,9.41
Jacob Widell Zetterström,Sweden,GK,1.31
Hjalmar Ekdal,Sweden,DEF,9.19
Isak Hien,Sweden,DEF,81.1
Ken Sema,Sweden,MID,29.04
Alexander Isak,Sweden,FWD,71.75
Alexander Bernhardsson,Sweden,FWD,65.18
Thibaut Courtois,Belgium,GK,81.74
Mike Penders,Belgium,GK,0.08
Hans Vanaken,Belgium,MID,16.95
Matias Fernandez-Pardo,Belgium,FWD,0.08
Leandro Trossard,Belgium,MID,65.64
Diego Moreira,Belgium,MID,1.19
Stopira,Cabo Verde,DEF,6.38
Logan Costa,Cabo Verde,DEF,89.25
Jamiro Monteiro,Cabo Verde,MID,71.34
Hélio Varela,Cabo Verde,MID,18.41
Gilson Benchimol,Cabo Verde,MID,6.07
Oumar Diakité,Côte d'Ivoire,FWD,16.22
Ange-Yoan Bonny,Côte d'Ivoire,FWD,0.0
Dominik Kotarski,Croatia,GK,3.51
Josko Gvardiol,Croatia,DEF,80.11
Mateo Kovacic,Croatia,MID,75.75
Keeto Thermoncy,Haiti,DEF,0.61
Dominique Simon,Haiti,MID,0.53
Lenny Joseph,Haiti,FWD,0.53
Nour Bani Ateyah,Jordan,GK,0.13
Ehsan Haddad,Jordan,DEF,84.35
Saed Al Rosan,Jordan,DEF,5.5
Anas Badawi,Jordan,DEF,0.13
Raja'ei Ayed,Jordan,MID,17.77
Ali Olwan,Jordan,FWD,84.35
Lee Gi-Hyuk,Korea Republic,DEF,7.98
Hwang In-Beom,Korea Republic,MID,90.0
Lee Dong-Gyeong,Korea Republic,MID,11.1
Montassar Talbi,Tunisia,DEF,90.0
Dylan Bronn,Tunisia,DEF,83.18
Yan Valery,Tunisia,DEF,88.19
Elias Achouri,Tunisia,MID,77.47
Hannibal Mejbri,Tunisia,MID,79.35
Gédéon Kalulu,Congo DR,DEF,14.03
Gaël Kakuta,Congo DR,MID,11.53
Armando Obispo,Curaçao,DEF,16.08
Deveron Fonville,Curaçao,DEF,0.17
Jürgen Locadia,Curaçao,FWD,25.14
Roozbeh Cheshmi,IR Iran,MID,12.24
Jalal Hassan,Iraq,GK,88.75
Mustafa Saadoon,Iraq,DEF,14.62
Ahmed Qasem,Iraq,MID,2.32
Diogo Costa,Portugal,GK,89.85
Rúben Dias,Portugal,DEF,88.87
Nélson Semedo,Portugal,DEF,16.6
Bernardo Silva,Portugal,MID,77.6
Cristiano Ronaldo,Portugal,FWD,79.51
Rafael Leão,Portugal,MID,18.14
Craig Gordon,Scotland,GK,6.3
Aaron Hickey,Scotland,DEF,66.4
Ben Gannon-Doak,Scotland,MID,61.31
Ross Stewart,Scotland,FWD,0.0
Lawrence Shankland,Scotland,FWD,45.96
Christian Fassnacht,Switzerland,MID,0.44
Zeki Amdouni,Switzerland,FWD,15.96
Cedric Itten,Switzerland,FWD,0.33
Çaglar Söyüncü,Türkiye,DEF,6.25
Can Uzun,Türkiye,MID,0.9
Aaron Tshibola,Congo DR,MID,3.17
Karim Hafez,Egypt,DEF,0.85
Nabil Emad Dunga,Egypt,MID,1.06
Mostafa Zico,Egypt,MID,0.85
Hamza Abdelkarim,Egypt,FWD,0.85
Mohamed Salah,Egypt,MID,87.63
Manuel Neuer,Germany,GK,82.0
Nadiem Amiri,Germany,MID,5.45
Jamal Musiala,Germany,MID,75.74
Felix Nmecha,Germany,MID,61.22
Aleksandar Pavlovic,Germany,MID,70.3
Jamie Leweling,Germany,MID,7.77
Maximilian Beier,Germany,FWD,5.77
Andrés Cubas,Paraguay,MID,86.78
Munir El Kajoui,Morocco,GK,0.17
Youssef Belammari,Morocco,DEF,19.24
Ayyoub Bouaddi,Morocco,MID,72.51
Marwane Saadane,Morocco,MID,0.17
Ayoube Amaimouni-Echghouyab,Morocco,FWD,0.17
Sander Tangvik,Norway,GK,0.0
Thelo Aasgaard,Norway,MID,5.41
Fredrik Aursnes,Norway,MID,72.34
Martin Ødegaard,Norway,MID,81.86
Isidro Pitta,Paraguay,FWD,12.04
Bara Sapoko Ndiaye,Senegal,MID,3.24
Sadio Mané,Senegal,MID,85.02
Sipho Chaine,South Africa,GK,2.25
Olwethu Makhanya,South Africa,DEF,2.25
Bradley Cross,South Africa,DEF,2.25
Kamogelo Sebelebele,South Africa,MID,4.21
Iqraam Rayners,South Africa,MID,53.43
Jarell Quansah,England,DEF,3.73
Reece James,England,DEF,71.0
Eberechi Eze,England,MID,13.67
Ollie Watkins,England,FWD,5.32
Ivan Toney,England,FWD,0.93
Amine Sbaï,Morocco,FWD,0.17
Sondre Langås,Norway,DEF,0.6
Nilson Angulo,Ecuador,MID,9.4
Hassan Al Tambakti,Saudi Arabia,DEF,82.26
Jehad Thikri,Saudi Arabia,DEF,13.15
Moteb Al Harbi,Saudi Arabia,DEF,11.3
Salem Al Dawsari,Saudi Arabia,MID,85.0
Alaa Al Hejji,Saudi Arabia,MID,0.0
Nasser Al Dawsari,Saudi Arabia,MID,68.59
Mohammed Abu Al Shamat,Saudi Arabia,MID,0.0
Alphonso Davies,Canada,DEF,20.7
Alistair Johnston,Canada,DEF,74.0
Moïse Bombito,Canada,DEF,24.35
Alfie Jones,Canada,DEF,0.0
Stephen Eustaquio,Canada,MID,78.73
Jacob Shaffelburg,Canada,MID,30.31
Promise David,Canada,FWD,5.18
Lawrence Ati Zigi,Ghana,GK,11.06
Joseph Anang,Ghana,GK,4.24
Abdul Baba,Ghana,DEF,4.24
Alidu Seidu,Ghana,DEF,77.91
Kojo Peprah Oppong,Ghana,DEF,5.74
Jonas Adjetey,Ghana,DEF,76.8
Abdul Mumin,Ghana,DEF,6.94
Marvin Senaya,Ghana,DEF,4.24
Jerome Opoku,Ghana,DEF,61.14
Gideon Mensah,Ghana,DEF,88.1
Caleb Yirenkyi,Ghana,MID,77.68
Thomas Partey,Ghana,MID,86.07
Elisha Owusu,Ghana,MID,18.14
Kwasi Sibo,Ghana,MID,29.64
Jordan Ayew,Ghana,FWD,79.91
Iñaki Williams,Ghana,FWD,72.6
Ernest Nuamah,Ghana,MID,61.34
Prince Adu,Ghana,FWD,4.24
Abdul Fatawu,Ghana,FWD,20.54
Christopher Bonsu Baah,Ghana,FWD,6.14
Antoine Semenyo,Ghana,FWD,75.11
Brandon Thomas-Asante,Ghana,FWD,4.94
Kamaldeen Sulemana,Ghana,FWD,17.34
Eric García,Spain,DEF,0.0
Marc Pubill,Spain,DEF,0.0
Mikel Merino,Spain,MID,31.26
Fabián Ruiz,Spain,MID,75.67
Gavi,Spain,MID,0.03
Nico Williams,Spain,MID,29.76
Harry Souttar,Australia,DEF,88.06
Cameron Devlin,Australia,MID,3.82
Jackson Irvine,Australia,MID,59.88
Mathew Leckie,Australia,MID,6.75
Mohamed Touré,Australia,FWD,2.75
Tete Yengi,Australia,FWD,2.75
Ahmed Tagnaouti,Morocco,GK,0.17
Yassine Bounou,Morocco,GK,88.33
Achraf Hakimi,Morocco,DEF,84.85
Chadi Riad,Morocco,DEF,77.67
Noussair Mazraoui,Morocco,DEF,84.09
Redouane Halhal,Morocco,DEF,0.17
Issa Diop,Morocco,DEF,78.85
Zakaria El Ouahdi,Morocco,DEF,0.17
Sofyan Amrabat,Morocco,MID,51.55
Neil El Aynaoui,Morocco,MID,87.61
Brahim Díaz,Morocco,MID,80.85
Azzedine Ounahi,Morocco,MID,63.24
Bilal El Khannouss,Morocco,MID,58.99
Soufiane Rahimi,Morocco,FWD,14.64
Chemsdine Talbi,Morocco,FWD,2.18
Fidel Escobar,Panama,DEF,84.18
Edgardo Fariña,Panama,DEF,10.89
Alberto Quintero,Panama,FWD,1.11
Azarías Londoño,Panama,FWD,7.92
Tomás Rodríguez,Panama,FWD,10.42
Sergiño Dest,USA,DEF,78.68
Miles Robinson,USA,DEF,0.54
Tyler Adams,USA,MID,71.91
Haji Wright,USA,FWD,2.05
Álex Zendejas,USA,MID,0.0
Robin Roefs,Netherlands,GK,0.0
Guus Til,Netherlands,MID,0.5
Mats Wieffer,Netherlands,MID,6.7
Frenkie de Jong,Netherlands,MID,79.06
Marten de Roon,Netherlands,MID,0.0
Justin Kluivert,Netherlands,MID,19.35
Memphis Depay,Netherlands,FWD,40.08
Crysencio Summerville,Netherlands,MID,72.34
Oussama Benbot,Algeria,GK,6.53
Samir Chergui,Algeria,DEF,10.91
Mohamed Tougaï,Algeria,DEF,6.53
Nabil Bentaleb,Algeria,MID,34.16
Cristian Volpato,Australia,MID,2.75
Christopher Opéri,Côte d'Ivoire,DEF,7.07
Piero Hincapié,Ecuador,DEF,83.71
Willian Pacho,Ecuador,DEF,87.0
Tyler Fletcher,Scotland,MID,0.0
Herman Johansson,Sweden,MID,6.82
Joaquín Piquerez,Uruguay,DEF,10.0
Rodrigo Bentancur,Uruguay,MID,70.12
Rodrigo Zalazar,Uruguay,MID,1.2
Jaouen Hadjam,Algeria,DEF,30.91
Mladen Jurkas,Bosnia and Herzegovina,GK,0.0
Derrick Luckassen,Ghana,DEF,4.24
Shahriyar Moghanlou,IR Iran,FWD,0.42
Cho Wi-Je,Korea Republic,DEF,7.98
Assan Ouédraogo,Germany,MID,0.61
Lutsharel Geertruida,Netherlands,DEF,14.39
Dejan Ljubicic,Austria,MID,0.0
Shuto Machino,Japan,FWD,7.13
Garven Metusala,Haiti,DEF,19.72
Danilo,Brazil,DEF,77.48
Ederson,Brazil,GK,7.51
